title,url,date,summary,section
Η κυβέρνηση απαντά στο ΚΚΕ: Καμία μεταφορά στρατιωτικού υλικού ή καυσίμων για το ΝΑΤΟ με την εμπορική στα Τέμπη,https://www.protagon.gr/epikairotita/i-kyvernisi-apanta-sto-kke-kamia-metafora-stratiwtikou-ylikou-i-kafsimwn-gia-to-nato-me-tin-eboriki-sta-tebi-44343120377,2025-04-01,Ο υπουργός Εθνικής Αμυνας απάντησε στη Βουλή και στις υπόνοιες Βελόπουλου σχετικά με την παρουσία στελεχών της...,
ΕΛ.ΑΣ: Γνήσια τα τρία βίντεο της εμπορικής αμαξοστοιχίας στα Τέμπη,https://www.protagon.gr/epikairotita/elas-gnisia-ta-tria-vinteo-tis-eborikis-amaksostoixias-sta-tebi-44343118485,2025-03-28,"Το υλικό αφορούσε την εμπορική αμαξοστοιχία και την δείχνει λίγο πριν τη μοιραία σύγκρουση με την επιβατική, στην τραγωδία με τους...",
Προανακριτική: Νέο εξώδικο συγγενών θυμάτων στα Τέμπη – «μαριονέτα ο εφέτης-ανακριτής»!,https://www.protagon.gr/epikairotita/proanakritiki-neo-ekswdiko-syggenwn-thymatwn-sta-tebi-44343113799,2025-03-20,"Μεταξύ άλλων, στην εξώδικη διαμαρτυρία καλούνται τα μέλη της Προανακριτικής να δηλώσουν αναρμόδια να κρίνουν αυτούς που...",
Τέμπη και πολιτικό σύστημα,https://www.protagon.gr/apopseis/tebi-kai-politiko-systima-44343107685,2025-03-17,«Οι θεσμοί πέφτουν θύματα της επιτυχίας τους» έγραφε ο Μοντεσκιέ. Το ίδιο συνέβη και με την επιτυχημένη Δημοκρατία της Μεταπολίτευσης. Εμεινε...,
Τασούλας: Στόχος μου η εθνική ομοψυχία – Σειρά της μεγάλης ανταπόκρισης στο μεγάλο αίτημα για τα Τέμπη,https://www.protagon.gr/epikairotita/tasoulas-stoxos-mou-i-ethniki-omopsyxia-seira-tis-megalis-antapokrisis-sto-megalo-aitima-gia-ta-tebi-44343108946,2025-03-13,"Η εθνική ομοψυχία δεν είναι ευχολόγιο αλλά ορος απαράβατος για την επίτευξη των μεγάλων στόχων, υπογράμμισε...",
H νέα δημοσκόπηση του Protagon: Ποιους αποδόμησαν και ποιους ανέβασαν τα Τέμπη,https://www.protagon.gr/epikairotita/h-nea-dimoskopisi-tou-protagon-poious-apodomisan-kai-poious-anevasan-ta-tebi-44343108326,2025-03-13,Πόσο δραματικά άλλαξε ο εκλογικός χάρτης μετά τα συλλαλητήρια της 28ης Φεβρουαρίου και τις κοινοβουλευτικές μάχες χαρακωμάτων...,
Ρωμανός: Με τον γιατρό που ενέκρινε τη fake αναρρωτική στον επιθεωρητή του σταθμάρχη μετέβη ο Ανδρουλάκης στα Τέμπη,https://www.protagon.gr/epikairotita/rwmanos-me-ton-giatro-pou-enekrine-ti-fake-anarrwtiki-ston-epithewriti-tou-stathmarxi-metevi-o-androulakis-sta-tebi-44343106104,2025-03-09,"Τι είπε ο εκπρόσωπος Τύπου της Νέας Δημοκρατίας και τι απάντησε ο Κώστας Τσουκαλάς, ομόλογός του...",
Συμβολική μοτοπορεία από Θεσσαλονίκη στα Τέμπη,https://www.protagon.gr/epikairotita/symvoliki-motoporeia-apo-thessaloniki-sta-tebi-44343106062,2025-03-09,Συμμετείχαν περισσότεροι από 1.000 μοτοσυκλετιστές από τη Μακεδονία και τη Θεσσαλία. Στο σημείο του δυστυχήματος τελέστηκε τρισάγιο στη μνήμη των 57...,
"Τέμπη: Βρήκαν, δύο χρόνια μετά, τα συντρίμμια της καμπίνας της εμπορικής αμαξοστοιχίας",https://www.protagon.gr/epikairotita/tebi-vrikan-dyo-xronia-meta-ta-syntrimmia-tis-kabinas-tis-eborikis-amaksostoixias-44343106020,2025-03-09,"Κλιμάκιο της Πυροσβεστικής Υπηρεσίας και δικαστικοί πραγματογνώμονες τα εντόπισαν στο Κουλούρι, όπου θα επιχειρήσουν να τα «συναρμολογήσουν»....",
Μητσοτάκης: «Τα Τέμπη δεν πρόκειται να τα ξεχάσουμε»,https://www.protagon.gr/epikairotita/mitsotakis-ta-tebi-den-prokeitai-na-ta-ksexasoume-44343105980,2025-03-09,"Στην εβδομαδιαία ανασκόπησή του, ο Πρωθυπουργός τόνισε ότι «πρώτοι εμείς θέλουμε να ξεκινήσει η δίκη για την ανείπωτη τραγωδία» και διαβεβαίωσε...",
